Compound,Number of Elements,Elements+Coeff,At no._sum,At no._wt_avg,At no._maximum,At no._minimum,At wt._sum,At wt._wt_avg,At wt._maximum,At wt._minimum,At Rad_sum,At Rad_wt_avg,At Rad_maximum,At Rad_minimum,Cov Rad_sum,Cov Rad_wt_avg,Cov Rad_maximum,Cov Rad_minimum,Ion Rad_sum,Ion Rad_wt_avg,Ion Rad_maximum,Ion Rad_minimum,No of val e-_sum,No of val e-_wt_avg,No of val e-_maximum,No of val e-_minimum,s e-_sum,s e-_wt_avg,s e-_maximum,s e-_minimum,p e-_sum,p e-_wt_avg,p e-_maximum,p e-_minimum,d e-_sum,d e-_wt_avg,d e-_maximum,d e-_minimum,outer shell e-_sum,outer shell e-_wt_avg,outer shell e-_maximum,outer shell e-_minimum,first IE_sum,first IE_wt_avg,first IE_maximum,first IE_minimum,polarizability_sum,polarizability_wt_avg,polarizability_maximum,polarizability_minimum,MP_sum,MP_wt_avg,MP_maximum,MP_minimum,BP_sum,BP_wt_avg,BP_maximum,BP_minimum,density_sum,density_wt_avg,density_maximum,density_minimum,specific heat_sum,specific heat_wt_avg,specific heat_maximum,specific heat_minimum,heat fusion_sum,heat fusion_wt_avg,heat fusion_maximum,heat fusion_minimum,heat vap_sum,heat vap_wt_avg,heat vap_maximum,heat vap_minimum,ther cond_sum,ther cond_wt_avg,ther cond_maximum,ther cond_minimum,Eg (eV)
AgFeTe2,3,"[['Ag', 1], ['Fe', 1], ['Te', '2']]",125,44.25,52,26,291.3152,104.7288,127.6,55.847,444,141.75,165,123,415,138.25,145,132,2.875,0.96125,1.26,0.645,10,4,6,1,27,9.25,10,8,52,18.5,22,12,46,16.5,20,6,9,3.75,6,1,2498.7,876.775,1008.4,731,146,45.75,57,37,3431.88,954.67,1810,386.8,6039.89,1624.32,3145.5,457.39,23.02,6.92,10.5,4.66,885,271.5,449,201,42.61,15.0275,17.5,11.31,649.19,174.2975,347,48,512,128.75,430,3,0.28
CdS0.65Se0.35,3,"[['Cd', 1], ['S', '0.65'], ['Se', '0.35']]",98,35.15,48,16,223.437,80.44495,112.411,32.066,351,126.8,161,87,369,127.125,144,105,1.84,0.69275,0.97,0.37,14,4,6,2,24,8.35,10,6,44,15.05,18,10,30,11.75,20,0,14,4,6,2,2808.18,923.371,999.58,867.7,91.6,33.92,46,19.6,1472.62,509.097,594.26,388.36,2715.824,920.9428,1040,717.824,14.979,5.691025,8.542,1.957,1256,400.3,705,230,13.24,4.56225,6.11,1.73,135.88,57.775,100.08,9.8,96.725,48.157625,96,0.205,2.13
HgSnO3,3,"[['Hg', 1], ['Sn', 1], ['O', '3']]",138,30.8,80,8,335.2994,73.45964,200.59,15.9994,364,92,171,48,337,93.8,139,66,3.11,1.182,1.4,0.69,8,2.4,4,2,26,6.8,12,4,48,11.2,24,4,50,10,30,0,12,4.8,6,2,3029.5,1131.46,1313.9,708.6,92,20.8,52,6,793.77,180.498,505.12,54.36,3615.998,759.2748,2896,90.188,20.826331,4.1657986,13.545,0.001331,1275,622.6,919,139,9.77,2.042,7.2,0.22,355.74,72.512,293.13,3.41,75.32658,15.075948,67,0.02658,1.6
EuTe,2,"[['Eu', 1], ['Te', 1]]",115,57.5,63,52,279.565,139.7825,151.965,127.6,354,177,231,123,336,168,198,138,1.917,0.9585,0.97,0.947,9,4.5,6,3,22,11,12,10,46,23,24,22,40,20,20,20,8,4,6,2,1555.4,777.7,1008.4,547,224,112,187,37,1485.8,742.9,1099,386.8,2170.39,1085.195,1713,457.39,9.919,4.9595,5.259,4.66,383,191.5,201,182,26.8,13.4,17.5,9.3,223.88,111.94,175.88,48,17,8.5,14,3,2
RbCu2VS4,4,"[['Rb', 1], ['Cu', '2'], ['V', 1], ['S', '4']]",105,22.75,37,16,232.0213,48.9706625,85.4678,32.066,668,134.25,265,87,610,132.125,220,105,3.21,0.63125,1.52,0.37,14,4.25,6,1,30,6.875,9,6,52,11.75,18,10,23,4.125,10,0,10,3.625,6,1,2797.98,817.765,999.58,403,474.6,73.3,318,19.6,4248.06,846.355,2190,312,8221.824,1653.787,3682,717.824,18.507,4.16225,8.92,1.53,1942,555.125,705,364,39.74,7.24375,22.8,1.73,833.8,145.4,453,9.8,489.205,111.2275,400,0.205,1.45
Pb6B4O13H2,4,"[['Pb', '6'], ['B', '4'], ['O', '13'], ['H', '2']]",96,24.72,82,1,235.01834,59.8580832,207.2,1.00794,342,80.08,154,48,328,85.44,146,31,2.832,1.05136,1.4,0.012,10,2.56,4,1,21,5.68,12,1,31,8.48,26,0,30,7.2,30,0,14,4.64,6,1,4142,1088.004,1313.9,715.5,80.9,18.744,50,4.5,3118.97,565.54,2450,13.96,6065.728,1163.27296,3931.15,20.39,13.80142087,3.11589931,11.34,8.99E-05,16376,1817.16,14300,127,55.548,9.30384,50,0.22,687.58,125.342,507,0.45,62.20708,12.7482616,35,0.02658,3.24
SnS0.4Se0.6,3,"[['Sn', 1], ['S', '0.4'], ['Se', '0.6']]",100,38.4,50,16,229.736,89.4562,118.71,32.066,335,120.8,145,87,364,126.5,139,105,1.56,0.569,0.69,0.37,16,5,6,4,24,8.6,10,6,46,16.8,20,10,30,13,20,0,16,5,6,4,2649.08,836.486,999.58,708.6,97.6,37.72,52,19.6,1383.48,477.232,505.12,388.36,4571.824,1878.9648,2896,717.824,13.717,5.3754,7.28,1.957,1243,345.8,705,217,14.33,5.566,7.2,1.73,328.93,156.325,293.13,9.8,67.725,33.697,67,0.205,1.02
InSb,2,"[['In', 1], ['Sb', 1]]",100,50,51,49,236.575,118.2875,121.757,114.818,289,144.5,156,133,281,140.5,142,139,1.56,0.78,0.8,0.76,8,4,5,3,20,10,10,10,40,20,21,19,40,20,20,20,8,4,5,3,1392,696,833.7,558.3,110,55,65,45,1333.67,666.835,903.89,429.78,4256,2128,2343,1913,13.964,6.982,7.28,6.684,440,220,233,207,23.12,11.56,19.85,3.27,291.87,145.935,224.87,67,106,53,82,24,0.17
LaZnAsO,4,"[['La', 1], ['Zn', 1], ['As', 1], ['O', 1]]",128,32,57,8,295.21649,73.8041225,138.9055,15.9994,499,124.75,195,48,514,128.5,207,66,3.781,0.94525,1.4,0.58,12,3,5,2,32,8,12,4,55,13.75,24,4,41,10.25,21,0,15,3.75,6,2,3705.4,926.35,1313.9,538.1,284,71,210,6,1940.16,485.04,1193,0,5902.188,1475.547,3743,90.188,18.995331,4.74883275,7.1,0.001331,1830,457.5,919,195,41.59,10.3975,27.72,0.22,554.86,138.715,400,3.41,183.02658,45.756645,120,0.02658,1.5
RuP4,2,"[['Ru', 1], ['P', '4']]",59,20.8,44,15,132.043762,44.9930096,101.07,30.973762,276,114,178,98,253,114.8,146,107,1.06,0.44,0.68,0.38,11,5.2,6,5,15,6.6,9,6,27,10.8,18,9,17,3.4,17,0,6,4.2,5,1,1722.7,951.56,1011.7,711,89.6,32.68,65,24.6,3017.25,793.8,2700,317.25,4945.15,1320.92,4392,553.15,14.278,3.9524,12.45,1.828,1007,662.8,769,238,26.18,5.62,25.54,0.64,592.4,125.92,580,12.4,120.236,24.1888,120,0.236,0.38
CaLa2S4,3,"[['Ca', 1], ['La', '2'], ['S', '4']]",93,28.28571429,57,16,211.0495,63.73614286,138.9055,32.066,476,133.1428571,195,87,488,144.2857143,207,105,2.421,0.656,1.061,0.37,11,4.571428571,6,2,26,8,12,6,46,14.28571429,24,10,21,6,21,0,10,4.285714286,6,2,2127.48,809.1885714,999.58,538.1,389.6,94.05714286,210,19.6,2704.36,723.2057143,1193,388.36,6217.974,1730.635143,3743,717.824,9.681,3.103714286,6.174,1.55,1531,548.7142857,705,195,16.55,4.002857143,8.54,1.73,563.65,141.8642857,400,9.8,213.205,32.40285714,200,0.205,2.7
Sn0.5GaZn4.5O7,4,"[['Sn', '0.5'], ['Ga', 1], ['Zn', '4.5'], ['O', '7']]",119,19,50,8,269.8224,41.17913846,118.71,15.9994,471,91.03846154,145,48,449,92.5,139,66,3.45,1.084230769,1.4,0.62,11,2.153846154,4,2,30,5.923076923,10,4,49,8.076923077,20,4,40,5,20,0,15,4.307692308,6,2,3507.7,1093.015385,1313.9,578.8,151,22.88461538,54,6,1555.21,311.8161538,692.8,54.36,6423.188,743.1012308,2896,90.188,20.284331,3.192485923,7.28,0.001331,1895,666.0384615,919,217,20.4,3.378076923,7.37,0.22,671.54,73.995,293.13,3.41,216.02658,46.36046615,120,0.02658,3
Ba2GaErSe5,4,"[['Ba', '2'], ['Ga', 1], ['Er', 1], ['Se', '5']]",189,42.33333333,68,31,453.27,100.7152222,167.26,69.723,718,153.6666667,253,103,646,149,215,120,3.351,0.744555556,1.35,0.5,14,4.444444444,6,2,40,9.333333333,12,8,77,18.33333333,24,13,60,13.33333333,20,10,13,4.333333333,6,2,2611.6,764.2333333,940.9,502.9,495,95.66666667,262,26,3561.23,724.3922222,1770,302.93,8506.2,1606.711111,3173,958,23.024,4.948222222,9.051,3.59,1065,283.7777778,371,168,38.91,7.612222222,19.9,5.4,707,105.6666667,285,26,62.52,9.177777778,29,0.52,1.95
NaBr,2,"[['Na', 1], ['Br', 1]]",46,23,35,11,102.893768,51.446884,79.904,22.989768,284,142,190,94,286,143,166,120,2.98,1.49,1.96,1.02,6,3,5,1,13,6.5,8,5,23,11.5,17,6,10,5,10,0,8,4,7,1,1635.7,817.85,1139.9,495.8,183.9,91.95,162,21.9,636.85,318.425,370.95,265.9,1486.46,743.23,1154.55,331.91,4.0738,2.0369,3.1028,0.971,2177,1088.5,1230,947,8.4,4.2,5.8,2.6,112.69,56.345,97.7,14.99,0.1691,0.08455,0.12,0.0491,7.5
Se0.4Te0.6,2,"[['Se', '0.4'], ['Te', '0.6']]",86,44.8,52,34,206.56,108.144,127.6,78.96,226,115,123,103,258,130.8,138,120,1.47,0.782,0.97,0.5,12,6,6,6,18,9.2,10,8,38,19.6,22,16,30,16,20,10,12,6,6,6,1949.3,981.4,1008.4,940.9,63,32.6,37,26,876.8,428.08,490,386.8,1415.39,657.634,958,457.39,9.14,4.588,4.66,4.48,522,249,321,201,22.9,12.66,17.5,5.4,74,39.2,48,26,3.52,2.008,3,0.52,0.7
Rb3Bi2I9,3,"[['Rb', '3'], ['Bi', '2'], ['I', '9']]",173,53.85714286,83,37,421.35264,129.7503121,208.98037,85.4678,523,151.1428571,265,115,507,157.6428571,220,139,4.75,1.887142857,2.2,1.03,13,5.428571429,7,1,31,10.07142857,12,9,68,22.5,27,18,60,19.28571429,30,10,13,5.428571429,7,1,1975.5,745.6,869.2,403,403,97.78571429,318,35,1579.39,609.3128571,722.8,312,4101,1295.928571,1852,967,17.57,5.739285714,9.8,1.53,915,371.2142857,429,122,20.91,7.058571429,10.89,2.19,251.9,51.50714286,160,20.9,66.449,13.86007143,58,0.449,1.89
Cd12Ge17B8O58,4,"[['Cd', '12'], ['Ge', '17'], ['B', '8'], ['O', '58']]",93,17.09473684,48,5,211.8314,37.87110737,112.411,10.811,421,79.33684211,161,48,415,87.11578947,144,66,3.13,1.091473684,1.4,0.23,11,2.442105263,4,2,26,5.473684211,10,4,37,7.305263158,18,1,30,4.315789474,20,0,15,4.884210526,6,2,3744.3,1115.569474,1313.9,762.1,113.4,18.52842105,46,6,4311.62,531.6315789,2450,54.36,8186.338,1076.685305,3931.15,90.188,16.326331,2.239496821,8.542,0.001331,2500,734.3052632,1030,230,88.16,10.81252632,50,0.22,944.49,117.1867368,507,3.41,183.02658,25.15306989,96,0.02658,4.29
Ca2ScSbO6,4,"[['Ca', '2'], ['Sc', 1], ['Sb', 1], ['O', '6']]",100,16,51,8,222.79031,34.286531,121.757,15.9994,559,99.3,194,48,551,105.7,176,66,3.895,1.1885,1.4,0.745,12,2.4,5,2,30,5.8,10,4,49,8.1,21,4,21,2.1,20,0,15,4.7,6,2,3368.4,1052.77,1313.9,589.8,331,52.1,160,6,3893.25,528.805,1812,54.36,6763.338,897.1428,3003,90.188,11.227331,1.2783986,6.684,0.001331,2324,755,919,207,44.52,5.416,19.85,0.22,542.26,71.316,318,3.41,240.02658,44.015948,200,0.02658,3.68
CdTe,2,"[['Cd', 1], ['Te', 1]]",100,50,52,48,240.011,120.0055,127.6,112.411,284,142,161,123,282,141,144,138,1.94,0.97,0.97,0.97,8,4,6,2,20,10,10,10,40,20,22,18,40,20,20,20,8,4,6,2,1876.1,938.05,1008.4,867.7,83,41.5,46,37,981.06,490.53,594.26,386.8,1497.39,748.695,1040,457.39,13.202,6.601,8.542,4.66,431,215.5,230,201,23.61,11.805,17.5,6.11,148.08,74.04,100.08,48,99,49.5,96,3,1.59
Cu1.8S,2,"[['Cu', '1.8'], ['S', 1]]",45,24.35714286,29,16,95.612,52.30314286,63.546,32.066,232,124.2857143,145,87,237,122.3571429,132,105,1.1,0.601428571,0.73,0.37,8,3.428571429,6,2,13,6.642857143,7,6,22,11.28571429,12,10,10,6.428571429,10,0,7,2.785714286,6,1,1744.98,836.1785714,999.58,745.4,72.6,41.07142857,53,19.6,1746.06,1011.507143,1357.7,388.36,3572.824,2091.722857,2855,717.824,10.877,6.433214286,8.92,1.957,1089,498.6428571,705,384,14.75,8.987857143,13.02,1.73,309.8,196.3571429,300,9.8,400.205,257.2160714,400,0.205,2.3
LaNbON2,4,"[['La', 1], ['Nb', 1], ['O', 1], ['N', '2']]",113,24,57,7,261.81802,55.164952,138.9055,14.00674,497,110.6,198,48,508,115.8,207,66,3.281,0.6822,1.4,0.13,13,3.2,5,2,29,6.6,12,4,49,10.4,24,3,35,7,21,0,14,3.8,6,1,3918.3,1064.12,1402.3,538.1,329.4,67.36,210,6,4060.54,824.744,2750,54.36,9046.538,1824.7776,5136,77.35,14.7464475,2.9495128,8.57,0.0011165,2419,691.8,1040,195,33.66,6.804,26.8,0.22,1096.2,219.798,690,2.79,67.05241,13.415648,54,0.02583,1.7
CdP4,2,"[['Cd', 1], ['P', '4']]",63,21.6,48,15,143.384762,47.2612096,112.411,30.973762,259,110.6,161,98,251,114.4,144,107,1.35,0.498,0.97,0.38,7,4.4,5,2,16,6.8,10,6,27,10.8,18,9,20,4,20,0,7,4.4,5,2,1879.4,982.9,1011.7,867.7,70.6,28.88,46,24.6,911.51,372.652,594.26,317.25,1593.15,650.52,1040,553.15,10.37,3.1708,8.542,1.828,999,661.2,769,230,6.75,1.734,6.11,0.64,112.48,29.936,100.08,12.4,96.236,19.3888,96,0.236,0.9
RbIn5S6,3,"[['Rb', 1], ['In', '5'], ['S', '6']]",102,31.5,49,16,232.3518,70.99615,114.818,32.066,508,130.5833333,265,87,467,130,220,105,2.69,0.645,1.52,0.37,10,4.333333333,6,1,25,7.916666667,10,6,47,14.41666667,19,10,30,9.166666667,20,0,10,4.333333333,6,1,1960.88,765.9983333,999.58,403,402.6,63.38333333,318,19.6,1130.14,399.255,429.78,312,4027.824,1415.745333,2343,717.824,10.767,4.139333333,7.28,1.53,1302,479.9166667,705,233,7.19,2.41,3.27,1.73,305.67,104.5125,224.87,9.8,140.205,39.1025,82,0.205,2.5
AgFeTe2,3,"[['Ag', 1], ['Fe', 1], ['Te', '2']]",125,44.25,52,26,291.3152,104.7288,127.6,55.847,444,141.75,165,123,415,138.25,145,132,2.875,0.96125,1.26,0.645,10,4,6,1,27,9.25,10,8,52,18.5,22,12,46,16.5,20,6,9,3.75,6,1,2498.7,876.775,1008.4,731,146,45.75,57,37,3431.88,954.67,1810,386.8,6039.89,1624.32,3145.5,457.39,23.02,6.92,10.5,4.66,885,271.5,449,201,42.61,15.0275,17.5,11.31,649.19,174.2975,347,48,512,128.75,430,3,0.31
GaSb,2,"[['Ga', 1], ['Sb', 1]]",82,41,51,31,191.48,95.74,121.757,69.723,269,134.5,136,133,261,130.5,139,122,1.38,0.69,0.76,0.62,8,4,5,3,18,9,10,8,34,17,21,13,30,15,20,10,8,4,5,3,1412.5,706.25,833.7,578.8,99,49.5,54,45,1206.82,603.41,903.89,302.93,4166,2083,2253,1913,12.587,6.2935,6.684,5.903,578,289,371,207,25.46,12.73,19.85,5.61,323,161.5,256,67,53,26.5,29,24,0.77
SnTe,2,"[['Sn', 1], ['Te', 1]]",102,51,52,50,246.31,123.155,127.6,118.71,268,134,145,123,277,138.5,139,138,1.66,0.83,0.97,0.69,10,5,6,4,20,10,10,10,42,21,22,20,40,20,20,20,10,5,6,4,1717,858.5,1008.4,708.6,89,44.5,52,37,891.92,445.96,505.12,386.8,3353.39,1676.695,2896,457.39,11.94,5.97,7.28,4.66,418,209,217,201,24.7,12.35,17.5,7.2,341.13,170.565,293.13,48,70,35,67,3,0.36
AlBi,2,"[['Al', 1], ['Bi', 1]]",96,48,83,13,235.961909,117.9809545,208.98037,26.981539,261,130.5,143,118,269,134.5,148,121,1.565,0.7825,1.03,0.535,8,4,5,3,18,9,12,6,34,17,27,7,30,15,30,0,8,4,5,3,1280.9,640.45,703.3,577.6,106,53,56,50,1478.11,739.055,933.52,544.59,4572,2286,2720,1852,12.4984,6.2492,9.8,2.6984,1026,513,904,122,21.57,10.785,10.89,10.68,453,226.5,293,160,243,121.5,235,8,0.4
Rb2AgVS4,4,"[['Rb', '2'], ['Ag', 1], ['V', 1], ['S', '4']]",123,26,47,16,276.3435,57.2511625,107.8682,32.066,688,151.75,265,87,623,144.75,220,105,3.74,0.79625,1.52,0.37,13,4,6,1,32,7.375,9,6,58,13.25,18,10,33,5.375,20,0,10,3.625,6,1,2783.58,773.165,999.58,403,473.6,106.3,318,19.6,4125.44,700.315,2190,312,7803.824,1365.537,3682,717.824,20.087,3.436,10.5,1.53,1793,534,705,235,38.03,5.67625,22.8,1.73,787.99,111.04875,453,9.8,519.205,72.2275,430,0.205,1.83
Sm3Al0.33SiS7,4,"[['Sm', '3'], ['Al', '0.33'], ['Si', 1], ['S', '7']]",105,27.91615181,62,13,237.493039,62.88891508,150.36,26.981539,554,130.0035305,238,87,535,130.6204766,198,105,2.269,0.534735216,0.964,0.37,16,4.941747573,6,3,30,7.58870256,12,6,49,13.44307149,24,7,20,5.295675199,20,0,15,4.676963813,6,2,2906.58,847.5788173,999.58,543,306.6,68.37422771,194,19.6,4352.18,772.0636893,1685,388.36,8466.824,1333.042189,2953,717.824,14.5214,3.488744219,7.536,1.957,2515,576.462489,904,196,71.11,8.061288614,50.2,1.73,836.8,92.61165049,359,9.8,398.205,23.65269197,235,0.205,2.26
NaInSe2,3,"[['Na', 1], ['In', 1], ['Se', '2']]",94,32,49,11,216.767768,73.931942,114.818,22.989768,449,138,190,103,428,137,166,120,2.32,0.705,1.02,0.5,10,4,6,1,23,7.75,10,5,41,14.25,19,6,30,10,20,0,10,4,6,1,1995,733.975,940.9,495.8,253,69.75,162,26,1290.73,445.1825,490,370.95,4455.55,1353.3875,2343,958,12.731,4.30275,7.28,0.971,1784,526.25,1230,233,11.27,4.1675,5.4,2.6,348.57,93.6425,224.87,26,82.5691,20.772275,82,0.0491,2.8
LaP,2,"[['La', 1], ['P', 1]]",72,36,57,15,169.879262,84.939631,138.9055,30.973762,293,146.5,195,98,314,157,207,107,1.441,0.7205,1.061,0.38,8,4,5,3,18,9,12,6,33,16.5,24,9,21,10.5,21,0,7,3.5,5,2,1549.8,774.9,1011.7,538.1,234.6,117.3,210,24.6,1510.25,755.125,1193,317.25,4296.15,2148.075,3743,553.15,8.002,4.001,6.174,1.828,964,482,769,195,6.92,3.46,6.28,0.64,412.4,206.2,400,12.4,13.236,6.618,13,0.236,0.54
AgI,2,"[['Ag', 1], ['I', 1]]",100,50,53,47,234.77267,117.386335,126.90447,107.8682,280,140,165,115,284,142,145,139,3.46,1.73,2.2,1.26,8,4,7,1,19,9.5,10,9,41,20.5,23,18,40,20,20,20,8,4,7,1,1600.2,800.1,869.2,731,87,43.5,52,35,1957.88,978.94,1235.08,722.8,3719,1859.5,2437,1282,16.74,8.37,10.5,6.24,664,332,429,235,19.14,9.57,11.31,7.83,275.09,137.545,254.19,20.9,430.449,215.2245,430,0.449,3.01
CdIn2Se4,3,"[['Cd', 1], ['In', '2'], ['Se', '4']]",131,40.28571429,49,34,306.189,93.98385714,114.818,78.96,420,126.4285714,161,103,406,129.7142857,144,120,2.27,0.652857143,0.97,0.5,11,4.571428571,6,2,28,8.857142857,10,8,53,17.14285714,19,16,50,14.28571429,20,10,11,4.571428571,6,2,2366.9,821.1285714,940.9,558.3,137,40,65,26,1514.04,487.6885714,594.26,429.78,4341,1365.428571,2343,958,20.302,5.860285714,8.542,4.48,784,282.8571429,321,230,14.78,4.892857143,6.11,3.27,350.95,93.40285714,224.87,26,178.52,37.44,96,0.52,1.57
TiS2,2,"[['Ti', 1], ['S', '2']]",38,18,22,16,79.946,37.33733333,47.88,32.066,263,116.6666667,176,87,265,123.3333333,160,105,0.975,0.448333333,0.605,0.37,10,5.333333333,6,4,14,6.666666667,8,6,22,10.66666667,12,10,2,0.666666667,2,0,8,4.666666667,6,2,1657.58,885.72,999.58,658,118.6,46.06666667,99,19.6,2331.36,906.5733333,1943,388.36,4279.824,1665.882667,3562,717.824,6.464,2.807,4.507,1.957,1225,643.3333333,705,520,20.43,7.386666667,18.7,1.73,434.8,148.2,425,9.8,22.205,7.47,22,0.205,1.95
Zn0.15Cd0.85Se,3,"[['Zn', '0.15'], ['Cd', '0.85'], ['Se', 1]]",112,39.65,48,30,256.761,92.158925,112.411,65.39,406,130.575,161,103,386,130.35,144,120,2.21,0.71775,0.97,0.5,10,4,6,2,26,8.85,10,8,46,16.55,18,12,40,14.25,20,10,10,4,6,2,2715,907.2025,940.9,867.7,111,35.475,46,26,1777.06,549.5205,692.8,490,3182,1009.8,1184,958,20.122,6.40285,8.542,4.48,939,287.35,388,230,18.88,5.8495,7.37,5.4,245.08,64.459,119,26,216.52,50.06,120,0.52,2.6
CuCl,2,"[['Cu', 1], ['Cl', 1]]",46,23,29,17,98.9987,49.49935,63.546,35.4527,224,112,145,79,234,117,132,102,2.54,1.27,1.81,0.73,7,3.5,5,2,13,6.5,7,6,23,11.5,12,11,10,5,10,0,8,4,7,1,1996.5,998.25,1251.1,745.4,67.6,33.8,53,14.6,1529.87,764.935,1357.7,172.17,3094.1,1547.05,2855,239.1,8.92289,4.461445,8.92,0.00289,862,431,478,384,16.24,8.12,13.02,3.22,310.22,155.11,300,10.22,400.0089,200.00445,400,0.0089,3.29
CsLu7S11,3,"[['Cs', 1], ['Lu', '7'], ['S', '11']]",142,38.31578947,71,16,339.93843,90.02107526,174.967,32.066,602,146,298,87,536,142.5263158,244,105,2.888,0.614526316,1.67,0.37,10,4.631578947,6,1,29,8.473684211,12,6,58,15.89473684,24,10,41,8.789473684,21,0,9,4.263157895,6,1,1899.28,791.5305263,999.58,375.7,566.6,86.87368421,399,19.6,2615.36,949.9452632,1925,302,5272.524,1793.092842,3603,717.824,13.6775,4.857868421,9.842,1.8785,1101,477.6315789,705,154,25.82,9.216842105,22,1.73,488.8,161.9368421,415,9.8,52.205,7.908157895,36,0.205,1.86
FeP4,2,"[['Fe', 1], ['P', '4']]",41,17.2,26,15,86.820762,35.9484096,55.847,30.973762,254,109.6,156,98,239,112,132,107,1.025,0.433,0.645,0.38,8,4.6,5,3,14,6.4,8,6,21,9.6,12,9,6,1.2,6,0,7,4.4,5,2,1771,961.22,1011.7,759.3,81.6,31.08,57,24.6,2127.25,615.8,1810,317.25,3698.65,1071.62,3145.5,553.15,9.688,3.0344,7.86,1.828,1218,705,769,449,14.44,3.272,13.8,0.64,359.4,79.32,347,12.4,79.236,15.9888,79,0.236,0.32
CsSbS2O8,4,"[['Cs', 1], ['Sb', 1], ['S', '2'], ['O', '8']]",130,16.83333333,55,8,302.72783,37.23246917,132.90543,15.9994,566,82.41666667,298,48,554,93.41666667,244,66,4.2,1.1975,1.67,0.37,14,2.833333333,6,1,31,5.416666667,11,4,59,8.083333333,24,4,40,3.333333333,20,0,18,5.5,6,1,3522.88,1143.313333,1313.9,375.7,469.6,44.26666667,399,6,1648.61,201.4575,903.89,54.36,3672.712,418.4876667,1913,90.188,10.520831,1.040595667,6.684,0.001331,2073,767.5833333,919,207,23.89,2.263333333,19.85,0.22,144.21,14.82333333,67,3.41,60.23158,5.051886667,36,0.02658,4.68
OsSbSe,3,"[['Os', 1], ['Sb', 1], ['Se', 1]]",161,53.66666667,76,34,390.947,130.3156667,190.23,78.96,421,140.3333333,185,103,403,134.3333333,144,120,1.89,0.63,0.76,0.5,17,5.666666667,6,5,30,10,12,8,61,20.33333333,24,16,56,18.66666667,26,10,13,4.333333333,6,2,2614.6,871.5333333,940.9,833.7,128,42.66666667,57,26,4393.89,1464.63,3000,490,8641,2880.333333,5770,958,33.774,11.258,22.61,4.48,658,219.3333333,321,130,56.25,18.75,31,5.4,723,241,630,26,111.52,37.17333333,87,0.52,0.4
In0.5As0.5Ga0.5P0.5,4,"[['In', '0.5'], ['As', '0.5'], ['Ga', '0.5'], ['P', '0.5']]",128,32,49,15,290.436352,72.609088,114.818,30.973762,504,126,156,98,490,122.5,142,107,2.38,0.595,0.8,0.38,16,4,5,3,32,8,10,6,56,14,19,9,40,10,20,0,16,4,5,3,3095.8,773.95,1011.7,558.3,172.6,43.15,65,24.6,1049.96,262.49,429.78,0,6034.15,1508.5375,2343,553.15,20.731,5.18275,7.28,1.828,1701,425.25,769,233,37.24,9.31,27.72,0.64,525.72,131.43,256,12.4,161.236,40.309,82,0.236,1.55
ZnTc,2,"[['Zn', 1], ['Tc', 1]]",73,36.5,43,30,-32.5172,-16.2586,65.39,-97.9072,325,162.5,183,142,269,134.5,147,122,1.3,0.65,0.74,0.56,8,4,6,2,18,9,10,8,30,15,18,12,25,12.5,15,10,4,2,2,2,1608.4,804.2,906.4,702,116,58,77,39,3215.8,1607.9,2523,692.8,6024,3012,4840,1184,18.587,9.2935,11.487,7.1,451,225.5,388,63,30.37,15.185,23,7.37,669,334.5,550,119,171,85.5,120,51,2.37
Ba2ZnSe3,3,"[['Ba', '2'], ['Zn', 1], ['Se', '3']]",120,40.66666667,56,30,281.677,96.154,137.327,65.39,498,159.5,253,103,457,152,215,120,2.59,0.823333333,1.35,0.5,10,4,6,2,28,9.333333333,12,8,52,18,24,12,40,13.33333333,20,10,10,4,6,2,2350.2,789.15,940.9,502.9,327,106.8333333,262,26,2181.1,693.2333333,998.3,490,4264.2,1383.733333,2122.2,958,15.17,4.62,7.1,3.59,914,293.5,388,205,20.77,6.595,8,5.4,285,79.5,140,26,138.52,26.26,120,0.52,2.75
Cu3YSe3,3,"[['Cu', '3'], ['Y', 1], ['Se', '3']]",102,32.57142857,39,29,231.41185,73.77483571,88.90585,63.546,460,136.5714286,212,103,442,135.1428571,190,120,2.13,0.655714286,0.9,0.5,11,3.857142857,6,2,25,7.857142857,10,7,46,14.57142857,18,12,31,10.14285714,11,10,9,3.285714286,6,1,2302.3,810.7,940.9,616,232,55.71428571,153,26,3650.7,1049.442857,1803,490,7390,2145.142857,3577,958,17.878,6.382571429,8.92,4.478,1003,344.7142857,384,298,29.82,9.522857143,13.02,5.4,706,194,380,26,417.52,174.08,400,0.52,0.88
Ba2GaYSe5,4,"[['Ba', '2'], ['Ga', 1], ['Y', 1], ['Se', '5']]",160,39.11111111,56,31,374.91585,92.00920556,137.327,69.723,704,152.1111111,253,103,647,149.1111111,215,120,3.37,0.746666667,1.35,0.5,14,4.444444444,6,2,38,9.111111111,12,8,71,17.66666667,24,13,51,12.33333333,20,10,13,4.333333333,6,2,2638.6,767.2333333,940.9,502.9,495,95.66666667,262,26,3594.23,728.0588889,1803,302.93,8910.2,1651.6,3577,958,18.451,4.440111111,5.903,3.59,1195,298.2222222,371,205,30.41,6.667777778,11.4,5.4,802,116.2222222,380,26,64.52,9.4,29,0.52,2.31
